Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T002_001,SE_T002_002,SE_T002_003,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T014_001,SE_T014_002,SE_T014_003,SE_T014_004,SE_T014_005,SE_T014_006,SE_T014_007,SE_T014_008,SE_T014_009,SE_T014_010,SE_T014_011,SE_T014_012,SE_T014_013,SE_T014_014,SE_T014_015,SE_T014_016,SE_T014_017,SE_T056_001,SE_T056_002,SE_T056_003,SE_T056_004,SE_T056_005,SE_T056_006,SE_T056_007,SE_T056_008,SE_T056_009,SE_T056_010,SE_T056_011,SE_T056_012,SE_T056_013,SE_T056_014,SE_T056_015,SE_T056_016,SE_T056_017,SE_T057_001,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T058_010,SE_T059_001,SE_T060_001,SE_T060_002,SE_T060_003,SE_T060_004,SE_T060_005,SE_T060_006,SE_T060_007,SE_T060_008,SE_T060_009,SE_T060_010,SE_T061_001,SE_T062_001,SE_T068_001,SE_T069_001,SE_T069_002,SE_T069_003,SE_T069_004,SE_T069_005,SE_T069_006,SE_T069_007,SE_T069_008,SE_T069_009,SE_T069_010,SE_T070_001,SE_T071_001,SE_T093_001,SE_T171_001,SE_T171_002,SE_T171_003,SE_T171_004,SE_T171_005,SE_T171_006,SE_T171_007,SE_T171_008,SE_T171_009,SE_T171_010,SE_T171_011
"0120020","32000US0120020","Dothan, AL Metro Area; Alabama","Dothan, Alabama","al","320","00","ACSSF","0007799",,,,,"01",,,,,,,,,,,,,,"20020",,,,,,,,,,,,,,,,,,,,,,,,,,,,147843,86.15646,1715.98267173439,147843,107680,35043,553,969,27,914,2657,147843,143105,104360,34716,481,956,20,129,2443,4738,3320,327,72,13,7,785,214,56851,5274,4479,4465,3747,3202,3474,3254,2904,2519,4313,5307,5805,3242,1747,1663,1456,40871,40871,46644,25248,35625,59583,,50179,37663,35803,46982,57330.9845033509,57330.9845033509,63408.9412094457,36415.5882120566,45934.9775784753,109615.985130112,0,48425.8064516129,50290.6766917293,44603.9183673469,63795.2452488256,52035,68584.8015998316,3259323800,3259323800,2714727000,460912100,10243500,29486700,,10508400,33443300,54639800,2675381200,2606496800,621377700,67978,56851,162,1428,9294,10633,8344,11642,6300,5020,1905,2123
"0121460","32000US0121460","Enterprise, AL Micro Area; Alabama","Enterprise, Alabama","al","320","00","ACSSF","0007800",,,,,"01",,,,,,,,,,,,,,"21460",,,,,,,,,,,,,,,,,,,,,,,,,,,,50991,41.11774,1240.12153878705,50991,38945,8766,421,623,0,528,1708,50991,47647,36393,8671,421,623,0,5,1534,3344,2552,95,0,0,0,523,174,19375,1563,1264,1156,1142,1150,1046,837,887,914,1583,1833,2224,1533,1022,859,362,47872,47872,52769,28352,41389,45253,,75375,58194,40648,53528,63566.1987096774,63566.1987096774,67847.8831830655,44011.2809538367,66483.3333333333,48985.4406130268,,70146.5517241379,67818.7683284457,62895.1193058568,68184.9316014923,61975,74735.5365002277,1231595100,1231595100,1038479700,143960900,9174700,12785200,,4068500,23126200,57989300,986908700,984864900,237045400,22862,19375,95,561,4156,3265,2739,3241,2329,1517,800,672
"0121640","32000US0121640","Eufaula, AL-GA Micro Area (part); Alabama","Eufaula, Alabama","al","320","00","ACSSF","0007801",,,,,"01",,,,,,,,,,,,,,"21640",,,,,,,,,,,,,,,,,,,,,,,,,,,,26614,30.07652,884.876303673994,26614,12430,12756,46,129,0,1099,154,26614,25467,12212,12745,46,118,0,198,148,1147,218,11,0,11,0,901,6,9122,1326,896,739,670,553,468,575,460,330,598,737,859,499,225,140,47,33956,33956,46410,21546,,,,35250,29028,25850,46673,45279.5658846744,45279.5658846744,56713.7288135593,31615.0556242274,0,73331.25,,39297.8165938865,31522.5352112676,37155.7195571956,56965.3499355947,42515,53965.5663538874,413040200,413040200,267688800,127882900,,2346600,,8999200,2238100,10069200,265344600,322066500,84880400,11802,9122,21,150,842,2040,1856,1383,1056,720,390,664
"0122520","32000US0122520","Florence-Muscle Shoals, AL Metro Area; Alabama","Florence-Muscle Shoals, Alabama","al","320","00","ACSSF","0007802",,,,,"01",,,,,,,,,,,,,,"22520",,,,,,,,,,,,,,,,,,,,,,,,,,,,147018,116.6516,1260.31677057963,147018,124006,17658,699,884,46,823,2902,147018,143495,121615,17554,699,860,46,203,2518,3523,2391,104,0,24,0,620,384,60466,5759,4319,3885,4097,3540,2939,3231,3254,2650,5252,6107,6915,3598,2110,1686,1124,43696,43696,45906,29396,,99583,,78896,27639,39494,45980,57466.6142956372,57466.6142956372,59284.4034582133,40973.2147818839,109596.296296296,117556.279069767,0,73406.008583691,50297.962962963,68093.8042131351,59352.1352901157,56996,69951.8802647413,3474776300,3474776300,3085753200,294925200,23672800,25274600,,17103600,27160900,54951700,3053370600,2790240600,646019500,70469,60466,315,1374,7352,9707,8163,11491,8462,7159,2932,3511
"0122840","32000US0122840","Fort Payne, AL Micro Area; Alabama","Fort Payne, Alabama","al","320","00","ACSSF","0007803",,,,,"01",,,,,,,,,,,,,,"22840",,,,,,,,,,,,,,,,,,,,,,,,,,,,70937,91.28504,777.093330162147,70937,61858,1082,979,214,497,4713,1594,70937,60995,57470,1048,912,214,70,8,1273,9942,4388,34,67,0,427,4705,321,24811,2694,1935,1544,1859,1817,1494,1661,1226,1054,2373,2480,2435,1139,426,357,317,38248,38248,39029,25650,,65223,,23803,36903,28911,39883,49257.180282939,49257.180282939,50118.6048580835,35189.6024464832,51035.0943396226,63252.027027027,0,30787.8352490421,53597.5951903808,31337.3207885305,51083.7317893164,45846,56397.0620177193,1222119900,1222119900,1126566000,11507000,13524300,9361300,,32142500,26745200,69944900,1094009200,986666600,215111300,31068,24811,31,639,3446,5556,3737,4817,2671,1618,911,1385
"0123460","32000US0123460","Gadsden, AL Metro Area; Alabama","Gadsden, Alabama","al","320","00","ACSSF","0007804",,,,,"01",,,,,,,,,,,,,,"23460",,,,,,,,,,,,,,,,,,,,,,,,,,,,103363,193.2053,534.990487986817,103363,84024,15931,475,699,67,584,1583,103363,99611,81069,15799,414,699,67,94,1469,3752,2955,132,61,0,0,490,114,39522,3413,2880,3352,3054,2594,2141,2158,1888,1490,3430,4118,4377,2202,963,757,705,40478,40478,43429,26261,22733,124167,,90197,17135,41625,43490,52903.1830372957,52903.1830372957,55453.2302120738,38138.6553219887,30855.8823529412,187098.666666667,0,68604.4943820225,27690.3147699758,52500,55499.1830116312,51967,62192.5049819175,2090839600,2090839600,1806832600,228603100,8392800,28064800,,6105800,11436100,34492500,1779803300,1685292500,381388600,47504,39522,106,673,4804,5542,5216,6553,5174,4645,3194,3615
"0126620","32000US0126620","Huntsville, AL Metro Area; Alabama","Huntsville, Alabama","al","320","00","ACSSF","0007805",,,,,"01",,,,,,,,,,,,,,"26620",,,,,,,,,,,,,,,,,,,,,,,,,,,,440230,323.3349,1361.52945882375,440230,314378,96159,2675,9699,426,4626,12267,440230,418733,298883,95374,2452,9641,334,863,11186,21497,15495,785,223,58,92,3763,1081,172022,11763,9042,7769,8459,8464,7875,8037,7249,6624,12758,15836,21002,16354,10292,11376,9122,58084,58084,65524,37427,53897,69513,75313,24622,49008,43865,66154,79060.3260048133,79060.3260048133,86114.6743539456,55436.716024285,66398.9852398524,98296.0679458949,56703,43839.5683453237,66955.5847568988,62321.3148433487,86722.1193608639,75493,94834.0312931431,13600115400,13600115400,10933377400,2017951900,71976500,312483200,5670300,54843300,203812800,364018800,10632392000,10715866200,2808179700,190225,172022,1094,9184,36908,34395,26014,21626,22922,11863,3529,4487
"0133660","32000US0133660","Mobile, AL Metro Area; Alabama","Mobile, Alabama","al","320","00","ACSSF","0007806",,,,,"01",,,,,,,,,,,,,,"33660",,,,,,,,,,,,,,,,,,,,,,,,,,,,414291,336.9766,1229.43541668919,414291,246794,146306,2568,8140,49,3207,7227,414291,403334,239671,145837,2514,8053,49,540,6670,10957,7123,469,54,87,0,2667,557,154261,15792,10645,10464,9419,9204,7885,7632,7066,6034,13276,15040,16957,10825,5223,4934,3865,44263,44263,53794,28559,45724,50879,82829,26621,42117,41147,54092,59662.978977188,59662.978977188,69557.4763281796,41630.1129162346,52680.6451612903,71659.5880149813,63060.6060606061,41372.3995880536,50268.253968254,55130.1313868613,69765.9947601989,54953,70129.4438449649,9203670800,9203670800,6662841100,2167846500,53892300,191331100,2081000,40172600,85506300,188820700,6524167000,7214005500,1893472500,181612,154261,393,4456,21639,22619,22867,32262,19311,17083,6823,6808
"0133860","32000US0133860","Montgomery, AL Metro Area; Alabama","Montgomery, Alabama","al","320","00","ACSSF","0007807",,,,,"01",,,,,,,,,,,,,,"33860",,,,,,,,,,,,,,,,,,,,,,,,,,,,373963,137.8372,2713.0782320227,373963,191869,164583,832,6010,75,4228,6366,373963,362699,185627,163998,690,5983,40,538,5823,11264,6242,585,142,27,35,3690,543,144209,12669,9644,8706,7738,7827,7626,7434,7132,6251,11433,13787,17034,11262,6052,5261,4353,47614,47614,60247,33500,48813,68125,62292,45847,45484,45261,60725,64597.7088808604,64597.7088808604,78732.1060590527,45667.4125212169,53432.3782234957,86608.1055155875,49740.5405405405,93187.1444823663,58415.3697749196,73453.6793458941,79082.0964591445,60392,76446.8456742175,9315571000,9315571000,6143623700,2798133700,18647900,180577900,1840400,81911500,90835900,206625200,6032461400,7282785200,1924550500,164694,144209,594,4689,25139,28739,20214,26116,15850,11580,4581,6707
"0137120","32000US0137120","Ozark, AL Micro Area; Alabama","Ozark, Alabama","al","320","00","ACSSF","0007808",,,,,"01",,,,,,,,,,,,,,"37120",,,,,,,,,,,,,,,,,,,,,,,,,,,,49607,,,49607,36921,9756,295,508,11,611,1505,49607,46686,34820,9625,286,508,11,77,1359,2921,2101,131,9,0,0,534,146,18794,2023,1413,1376,1074,911,996,847,971,865,1751,1961,1962,1127,615,554,348,44093,44093,49604,24729,42917,70000,,,42188,23864,50993,56174.2098542088,56174.2098542088,60500.7617972773,34824.5977638397,97231.0559006211,81732.6923076923,,36990.0552486188,77418.25,34191.1290322581,61684.8954871113,55024,67038.8511080887,1055738100,1055738100,857719300,127701800,15654200,17000400,,6695200,30967300,29677900,835151800,837918600,209755500,22839,18794,81,716,3083,3152,3195,3708,2447,1069,485,858
"0142460","32000US0142460","Scottsboro, AL Micro Area; Alabama","Scottsboro, Alabama","al","320","00","ACSSF","0007809",,,,,"01",,,,,,,,,,,,,,"42460",,,,,,,,,,,,,,,,,,,,,,,,,,,,52608,48.80746,1077.86788819099,52608,47949,1733,448,196,28,591,1663,52608,51173,47080,1733,406,196,21,130,1607,1435,869,0,42,0,7,461,56,19945,2251,1593,1466,1246,1330,1310,1193,1019,897,1779,1855,1892,1109,342,310,353,38422,38422,38823,26875,30125,2499,,,45132,,38879,50214.2692404111,50214.2692404111,50424.1842713541,36154.5927209705,40883.4285714286,12612.1951219512,0,42207.0588235294,66523.8938053097,47217.6291793313,50407.8733722007,47145,58647.6173311225,1001523600,1001523600,938041100,20861200,7154600,517100,,3587600,30068800,15534600,925135700,813501100,181907100,24773,19945,28,237,2150,3766,3517,4736,2475,1344,880,812
"0142820","32000US0142820","Selma, AL Micro Area; Alabama","Selma, Alabama","al","320","00","ACSSF","0007810",,,,,"01",,,,,,,,,,,,,,"42820",,,,,,,,,,,,,,,,,,,,,,,,,,,,41426,42.32781,978.694610168078,41426,11884,28798,91,163,37,92,361,41426,41029,11628,28790,91,163,24,0,333,397,256,8,0,0,13,92,28,16099,3258,1501,1404,1322,856,1194,638,780,596,801,1010,1128,712,420,192,287,28136,28136,50233,21640,,,,,23299,31458,50974,43125.0077644574,43125.0077644574,67177.5494071146,31681.5014401189,0,100027.083333333,0,0,37230.4635761589,45778.021978022,67501.9365142743,36573,51515.7161341694,694269500,694269500,339918400,340988000,,4801300,,,5621800,4165800,338117200,517578400,163703400,20242,16099,22,142,1692,2695,1903,3247,2238,1785,1111,1264
"0145180","32000US0145180","Talladega-Sylacauga, AL Micro Area; Alabama","Talladega-Sylacauga, Alabama","al","320","00","ACSSF","0007811",,,,,"01",,,,,,,,,,,,,,"45180",,,,,,,,,,,,,,,,,,,,,,,,,,,,91921,124.7612,736.775416720077,91921,59594,29512,261,442,29,643,1440,91921,90029,58551,29495,216,422,29,43,1273,1892,1043,17,45,20,0,600,167,35667,3798,3042,2835,2705,2354,2356,1778,1890,1862,3106,2784,3298,1630,1070,782,377,37146,37146,42238,26154,,138519,,36004,41500,36705,42222,49772.6525920319,49772.6525920319,54930.290091674,36691.5073166352,35617.5925925926,250052.205882353,0,38376.0479041916,45366.5137614679,39405.3488372093,55044.2742924828,46202,58604.1105064881,1775241200,1775241200,1312229700,408706700,3846700,34007100,,6408800,9889900,16944300,1301191600,1400052200,352552000,43650,35667,141,792,4825,6962,5087,6039,4057,3718,1933,2113
"0145980","32000US0145980","Troy, AL Micro Area; Alabama","Troy, Alabama","al","320","00","ACSSF","0007812",,,,,"01",,,,,,,,,,,,,,"45980",,,,,,,,,,,,,,,,,,,,,,,,,,,,33277,49.51241,672.094097733271,33277,19408,12514,215,704,2,19,415,33277,32547,18822,12451,215,704,2,0,353,730,586,63,0,0,0,19,62,12802,2141,932,994,1088,739,768,564,667,726,800,850,1054,568,334,411,166,33193,33193,44198,20958,51458,,,,33800,56250,43961,49795.9850023434,49795.9850023434,59763.4973660542,34051.5953983069,51527.6923076923,27016.393442623,,0,57322.3404255319,64603.0120481928,59561.0551119256,47811,66219.3983957219,637488200,637488200,465139300,156875700,3349300,6592000,,,5388300,10724100,454986900,495321100,134605900,15734,12802,6,1011,1640,2982,1976,2159,1189,684,393,762
"0146220","32000US0146220","Tuscaloosa, AL Metro Area; Alabama","Tuscaloosa, Alabama","al","320","00","ACSSF","0007813",,,,,"01",,,,,,,,,,,,,,"46220",,,,,,,,,,,,,,,,,,,,,,,,,,,,237672,90.96423,2612.80741069071,237672,149660,80023,360,3072,47,2201,2309,237672,230337,144567,79895,339,3061,47,248,2180,7335,5093,128,21,11,0,1953,129,84006,8900,5886,4684,5363,4772,4037,3955,4145,3654,6907,7399,10057,5875,3069,2951,2352,45348,45348,54944,30244,36354,43413,,35510,24375,35038,55341,61541.7303525939,61541.7303525939,71680.8734360402,41956.299198184,47601.1173184358,60639.3246187364,32077.2727272727,55127.4774774775,39861.7375231054,52910.3246753247,72002.7429511015,58082,74650.4003195294,5169874600,5169874600,3912987200,1145952400,8520600,55666900,705700,24476600,21565200,81481900,3853514800,4111818700,1006256400,105027,84006,367,3292,16918,16784,11438,14093,9310,6263,2755,2786
"0146740","32000US0146740","Valley, AL Micro Area; Alabama","Valley, Alabama","al","320","00","ACSSF","0007814",,,,,"01",,,,,,,,,,,,,,"46740",,,,,,,,,,,,,,,,,,,,,,,,,,,,34018,57.02633,596.531443388927,34018,19417,13779,78,312,0,42,390,34018,33870,19303,13770,78,312,0,17,390,148,114,9,0,0,0,25,0,13851,1451,1137,1205,1050,813,1083,817,780,603,980,1246,1520,544,275,192,155,36027,36027,42628,28558,,69063,,,43688,16691,42945,50369.4245902823,50369.4245902823,58305.0291093769,35813.7812386816,342116,60795.4198473282,,,55157.3333333333,23983.0508474576,58557.7115048665,47749,62503.9403743933,697666900,697666900,470696500,197763700,17105800,7964200,,,4136800,1415000,469281500,540909100,149807900,16905,13851,40,289,1420,2100,1878,2519,1442,1518,1041,1604
